ts,ma20_tv,ema20_tv,macd_tv.dif,macd_tv.dea,macd_tv.hist,kdj_tv.k,kdj_tv.d,kdj_tv.j,rsi14_tv,cci20_tv,boll20_tv.mid,boll20_tv.up,boll20_tv.dn,ma20_cn,ema20_cn,macd_cn.dif,macd_cn.dea,macd_cn.hist,kdj_cn.k,kdj_cn.d,kdj_cn.j,rsi14_cn,cci20_cn,boll20_cn.mid,boll20_cn.up,boll20_cn.dn
1787949000000,77679.2,77858.1603361,-452.490741191,-528.768570121,76.2778289299,37.5172899961,40.6278534348,31.2961631187,32.5882109644,-102.152221831,77679.2,78114.5214674,77243.8785326,77679.2,77822.999741,-365.014974825,-393.532634942,57.0353202345,36.5763012194,39.4230495304,30.8828045972,31.0808686686,-102.152221831,77679.2,78114.5214674,77243.8785326
1787949900000,77633.76,77813.1260184,-437.214014887,-510.457659074,73.2436441868,32.034474387,37.7181893053,20.6670445503,32.9447070841,-98.2053054318,77633.76,77984.3318836,77283.1881164,77633.76,77781.3140513,-356.166489245,-386.059405803,59.7858331156,33.3123387105,37.3861459238,25.1647242838,31.4613140027,-98.2053054318,77633.76,77984.3318836,77283.1881164
1787950800000,77612.865,77772.0759214,-420.517844537,-492.469696167,71.9518516298,23.9445906818,31.1654516883,9.50286866889,32.8859495137,-96.6339185054,77612.865,77971.0460228,77254.6839772,77612.865,77743.2936655,-345.430308357,-377.933586314,65.0065559124,28.9156229953,34.5626382809,17.6215924239,31.4027467848,-96.6339185054,77612.865,77971.0460228,77254.6839772
1787951700000,77606.73,77735.2210717,-402.405257002,-474.456808334,72.0515513313,22.5400154432,26.1730268373,15.2739926549,33.0065825535,-95.7496193875,77606.73,77975.9328445,77237.5271555,77606.73,77709.1799831,-332.842926655,-368.915454382,72.1450554534,26.1815623542,31.7689463054,15.0067944519,31.5314309023,-95.7496193875,77606.73,77975.9328445,77237.5271555
1787952600000,77590.925,77708.5333506,-378.052600023,-455.175966672,77.123366649,28.3499607527,24.9448556259,35.1601710062,35.8977083034,-56.7842697903,77590.925,77957.6843864,77224.1656136,77590.925,77684.9723656,-313.611867753,-357.854737056,88.4857386065,32.1924581098,31.9101169068,32.7571405158,34.6094669719,-56.7842697903,77590.925,77957.6843864,77224.1656136
1787953500000,77570.2,77674.0730315,-363.303907517,-436.801554841,73.4976473239,33.2988950104,28.0629570688,43.7707708937,33.4864697507,-93.2158240065,77570.2,77942.9261729,77197.4738271,77570.2,77652.7559499,-303.610190633,-347.005827771,86.7912742774,33.1179701859,32.3127346665,34.7284412247,32.1945573832,-93.2158240065,77570.2,77942.9261729,77197.4738271
1787954400000,77543.235,77650.7898857,-340.995343217,-417.640312516,76.6449692988,45.5010921043,35.7166492891,65.0699777346,36.9761766956,-66.9621853682,77543.235,77872.1387688,77214.3312312,77543.235,77631.5030023,-285.70106821,-334.744875859,98.0876152991,41.1853242419,35.270264525,53.0154436756,35.882573459,-66.9621853682,77543.235,77872.1387688,77214.3312312
1787955300000,77524.88,77640.838468,-310.321734797,-396.176596972,85.8548621747,61.9644491095,46.9214787414,92.0503898457,41.6196867341,-12.4920543526,77524.88,77806.7088814,77243.0511186,77524.88,77623.3884306,-259.104450149,-319.616790717,121.024681136,58.6583230401,43.06628403,89.8424010604,40.7667860288,-12.4920543526,77524.88,77806.7088814,77243.0511186
1787956200000,77522.84,77647.6252806,-269.527064557,-370.846690489,101.319625933,83.4207447368,63.6287619835,123.004710243,47.5341667786,80.4316660906,77522.84,77798.5618047,77247.1181953,77522.84,77631.8371515,-222.087675883,-300.11096775,156.046583734,72.2181757667,52.7835812756,111.087364749,46.9498462256,80.4316660906,77522.84,77798.5618047,77247.1181953
1787957100000,77515.375,77655.2895395,-233.217541552,-343.320860702,110.103319149,96.580481427,80.6552250911,128.430994099,48.0808028141,124.891049107,77515.375,77758.4457376,77272.3042624,77515.375,77641.0050418,-189.278662702,-277.944506741,177.331688077,80.4118646526,61.9930090679,117.249575822,47.5191696001,124.891049107,77515.375,77758.4457376,77272.3042624
1787958000000,77516.605,77662.8524405,-201.585664081,-314.973821378,113.388157296,97.7616020454,92.587609403,108.10958733,48.3199982231,133.784819831,77516.605,77763.8183854,77269.3916146,77516.605,77649.9283712,-160.890077871,-254.533620967,187.287086191,85.9904705991,69.9921629116,117.987085974,47.7681792451,133.784819831,77516.605,77763.8183854,77269.3916146
1787958900000,77521.3,77661.9712557,-180.975097241,-288.17407655,107.198979309,91.9586640945,95.4335825223,85.0088272389,45.543406741,102.454173362,77521.3,77775.0880533,77267.5119467,77521.3,77650.2780501,-143.284319638,-232.283760701,177.998882126,84.6366695218,74.873665115,104.162678335,44.9461007217,102.454173362,77521.3,77775.0880533,77267.5119467
